key,code,kor,kor2,kor6,eng7
윷점,도도도,도‧도‧도,아이가 어머니를 만남,힘들고 어려운 일은 끝나고 좋은 일이 생긴다,Difficult and hard things will be gone and good things will happen.
윷점,도도개,도‧도‧개,쥐가 창고에 들어감,집안의 재물이 조금씩 새 나간다,The wealth of the family will leak.
윷점,도도걸,도‧도‧걸,밤에 불을 얻음,어려운 상황 중에 귀인의 도움으로 일을 수월하게 이룬다,"You will have some difficulty, but a noble person will help you overcome it easily."
윷점,도도모,도‧도‧윷(모),파리가 봄을 만남,"아직은 때가 이르지 않았으나, 참고 기다리면 좋은 때가 온다","The time has not come yet, but patience will pay off."
윷점,도개도,도‧개‧도,큰물이 거슬러 흐름,"지금 당장은 힘들고 어려운 상황이지만, 이것을 이겨내면 큰 성공을 이룬다","You are having difficulty now, but only to enjoy great success later."
윷점,도개개,도‧개‧개,복죄(服罪) 중에 공을 세움,본의 아니게 좋은 결과를 얻거나 뜻하지 않은 횡재를 한다,You will have an unintended good result or unexpected gain.
윷점,도개걸,도‧개‧걸,나는 개미가 등불에 부딪힘,무리하게 욕심을 부리면 낭패를 보게 되니 지나친 욕심은 삼가라,Being greedy will cause a trouble. Don’t press your luck too far.
윷점,도개모,도‧개‧윷(모),금이나 쇠가 불을 만남,자신의 능력을 펼칠 기회가 온다,You will have an opportunity to spread your wings.
윷점,도걸도,도‧걸‧도,학이 날개를 잃음,"뜻한 바는 있으나, 이루어지지 않는다","You’re aiming at something, but it will not come true."
윷점,도걸개,도‧걸‧개,주린 자가 밥을 얻음,하는 일이 점점 풀려 어려운 형편이 좋아진다,Things are getting better and you’ll see a sunny day.
윷점,도걸걸,도‧걸‧걸,용이 큰 바다로 들어감,뜻을 펼칠 기회를 만나 원하는 바를 이룬다,You’ll have a chance to watch your dreams unfold and get what you want.
윷점,도걸모,도‧걸‧윷(모),거북이 죽순(竹筍) 속으로 들어감,환경이 바뀌어 힘들고 어려워진다,Environment is changing and it will give you a hard time.
윷점,도모도,도‧윷(모)‧도,나무에 뿌리가 없음,일이 잘 풀리지 않는다,Things are not getting better.
윷점,도모개,도‧윷(모)‧개,죽은 이가 다시 살아남,기적 같은 일이 일어난다,A miracle is coming to you.
윷점,도모걸,도‧윷(모)‧걸,추운 자가 옷을 얻음,귀인의 도움으로 어려움을 헤쳐나간다,A noble person will help you overcome hardship.
윷점,도모모,도‧윷(모)‧윷(모),가난한 사람이 보물을 얻음,가난한 살림에 많은 재물을 얻는다,A lot of wealth will be added to your needy household.
윷점,개도도,개‧도‧도,해가 구름 속으로 들어감,남의 방해로 진행하는 일을 이루지 못한다,Somebody will get in the way and you will not complete your job.
윷점,개도개,개‧도‧개,장마에 해를 봄,모두 어려운 처지나 본인에게는 좋은 일이 생긴다,Everyone is having a hard time but a good thing will happen to you.
윷점,개도걸,개‧도‧걸,활이 화살을 잃음,사소한 실수로 큰일을 망친다,A tiny mistake will cause a big trouble.
윷점,개도모,개‧도‧윷(모),새가 날개가 없음,뜻한 바가 이루어지지 않는다,You will not get what you want.
윷점,개개도,개‧개‧도,약한 말이 짐이 무거움,미리 준비하지 않으면 큰 낭패를 본다,"If you Don’t get ready in advance, you’ll see an abject failure."
윷점,개개개,개‧개‧개,학이 하늘에 오름,희망과 의지가 이루어진다,Your hope and will are coming true.
윷점,개개걸,개‧개‧걸,주린 매가 고기를 얻음,고생 끝에 일을 이룬다,After hardship comes achievement.
윷점,개개모,개‧개‧윷(모),차에 두 바퀴가 없음,뜻한 바는 있으나 잘 이루어지지 않는다,The thing you mean to get is not easily achieved.
윷점,개걸도,개‧걸‧도,어린애가 젖을 얻음,풍족하고 편안하게 지낸다,You will have plenty and stay comfortable.
윷점,개걸개,개‧걸‧개,중병에 약을 얻음,어려운 상황에서 귀인을 만나 뜻한 바를 이룬다,You will meet a noble person in a difficult situation and achieve what you want.
윷점,개걸걸,개‧걸‧걸,나비가 꽃을 얻음,"뜻한 바가 원만하게 이루어진다. 애정운, 직업운이 길하다",You will get what you want without any trouble. Your love and work have many auspicious signs.
윷점,개걸모,개‧걸‧윷(모),활이 살을 얻음,계획한 일을 크게 이룬다,You will accomplish greatly on what you have planned.
윷점,개모도,개‧윷(모)‧도,드문 손님을 절하여 맞음,귀인을 만나 큰 도움을 얻는다,You will encounter a noble person who will be a big help to you.
윷점,개모개,개‧윷(모)‧개,물고기가 물을 잃음,어렵고 힘든 일이 많이 생긴다,There will be many hard and difficult things.
윷점,개모걸,개‧윷(모)‧걸,물 위에 무늬가 일어남,성가신 일이 생기거나 구설에 시달린다,"Tiresome things will happen to you, or you will suffer malicious gossip."
윷점,개모모,개‧윷(모)‧윷(모),용이 뜻대로 얻음,뜻한 바를 이루어 크게 성공한다,You’ll achieve what you’ve planned and get a great success.
윷점,걸도도,걸‧도‧도,큰 고기가 물에 들어감,일을 성취하여 큰 재물을 얻는다,You will get great wealth after accomplishing your work.
윷점,걸도개,걸‧도‧개,염천(炎天)에 부채를 기증함,귀인의 도움으로 모든 일을 순조롭게 이른다,You’ll get all the things Done sMoothly with the help of a noble person.
윷점,걸도걸,걸‧도‧걸,새매와 매가 발톱이 없음,뜻한 일이 제대로 풀리지 않는다,What you plan to Do will not progress properly.
윷점,걸도모,걸‧도‧윷(모),구슬을 강 속에 던짐,사소한 실수로 힘들게 이룬 성과를 잃어버린다,You will lose your accomplishment because of your minor mistake.
윷점,걸개도,걸‧개‧도,용의 머리에 뿔이 남,모든 것이 제대로 이루어진다,All things will go right.
윷점,걸개개,걸‧개‧개,가난하고 또 천함,하는 일마다 이루지 못하니 살림살이는 어려워지고 체면도 깎인다,You will not succeed in whatever you Do. Your living will become poor and your face will be lost.
윷점,걸개걸,걸‧개‧걸,가난한 선비가 녹을 얻음,시험에 합격하거나 승진을 한다,You will pass a test or be proMoted at work.
윷점,걸개모,걸‧개‧윷(모),고양이가 쥐를 만남,모든 일이 뜻대로 이루어지고 재물이 들어온다,Everything will be Done as you plan and you’ll get rich.
윷점,걸걸도,걸‧걸‧도,물고기가 변하여 용이 됨,소원이 이루어지고 높은 관직에 오른다,Your wish will come true and you’ll be exalted to a high office.
윷점,걸걸개,걸‧걸‧개,소가 풀과 콩깍지를 얻음,재물이 많이 들어온다,Lots of wealth will be gained.
윷점,걸걸걸,걸‧걸‧걸,나무의 꽃이 열매를 이룸,뜻한 바가 드디어 결실을 맺는다,You will finally see the fruit of your effort.
윷점,걸걸모,걸‧걸‧윷(모),중이 속세로 귀환함,지금 하고 있는 일을 바꾸거나 주위 환경이 바뀐다,You will change the work you’re Doing or your surroundings.
윷점,걸모도,걸‧윷(모)‧도,나그네가 집을 생각함,일을 하는 중간 중군에 근심과 걱정이 생긴다,Your work will be interrupted by occasional worries and concerns.
윷점,걸모개,걸‧윷(모)‧개,말에 안장과 채찍이 없음,주위 환경과 사정이 여의치 않아 일을 이루지 못한다,You will not be able to complete your work because of your surroundings.
윷점,걸모걸,걸‧윷(모)‧걸,행인이 길을 얻음,손쉽게 뜻한 바를 이룬다,You will get what you want easily.
윷점,걸모모,걸‧윷(모)‧윷(모),해가 풀의 이슬을 비춤,하늘의 도움으로 뜻한 일을 이룬다,Heaven will help you accomplish your plan.
윷점,모도도,모‧도‧도,부모가 아들을 얻음,평소에 바라고 바라던 소원을 이룬다,You will have your long-cherished desire fulfulled.
윷점,모도개,모‧도‧개,공은 있으나 상이 없음,실속 없이 바쁘기만 하다,You will get busy with nothing gained.
윷점,모도걸,모‧도‧걸,용이 깊은 연못에 들어감,드디어 바라던 일을 이룬다,You will finally accomplish what you want.
윷점,모도모,모‧도‧윷(모),판수가 문에 다다름,역경을 딛고 모든 일을 성공적으로 이룬다,You will overcome the hardship and get everything Done successfully.
윷점,모개도,모‧개‧도,어둠 속에서 불을 봄,좋은 소식을 듣는다,Good news will reach you.
윷점,모개개,모‧개‧개,사람에 손‧팔이 없음,노력에 비해 결과가 좋지 않다,You will achieve less than you tried.
윷점,모개걸,모‧개‧걸,이(利)가 대인(大人)을 만남,큰 뜻을 가진 사람과 교류한다,You will exchange ideas with a person who has a great plan.
윷점,모개모,모‧개‧윷(모),각궁(角弓)에 활줄이 없음,일이 제대로 잘 풀리지 않는다,Things will not go well.
윷점,모걸도,모‧걸‧도,귓가에서 바람이 일어남,불길하고 나쁜 소리를 듣는다,You will hear ominous and terrible news.
윷점,모걸개,모‧걸‧개,어린애가 보배를 얻음,어린 나이에 많은 재물을 얻는다,You will gain a lot of wealth at a young age.
윷점,모걸걸,모‧걸‧걸,사람을 얻었다가 도로 잃음,대인관계를 신중히 하라,Be careful on your personal relationship.
윷점,모걸모,모‧걸‧윷(모),어지럽고 길하지 못함,어려운 상황에 처해 좋지 않은 일이 생긴다,"You will be in a predicament, and something bad will happen."
윷점,모모도,모‧윷(모)‧도,살 일이 아득함,모든 일이 제대로 이루어지지 않는다,Nothing will go right.
윷점,모모개,모‧윷(모)‧개,물고기가 낚싯바늘을 묾,뜻한 바가 순조롭게 이루어진다,What you’ve planned will come true without any trouble.
윷점,모모걸,모‧윷(모)‧걸,나는 새가 사람을 만남,뜻하지 않은 훼방꾼이 나타나거나 장애물을 만난다,You’ll be encountered by an unexpected disrupter or obstacles.
윷점,모모모,모‧윷(모)‧윷(모),형이 동생을 만남,따르는 사람들이 생긴다,You will have followers.
